Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0101 ,Switzerland,Commercial,Communications,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0102 ,Switzerland,Commercial,Communications,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0103 ,Switzerland,Commercial,Communications,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0104 ,Switzerland,Commercial,Communications,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0105 ,Switzerland,Commercial,Communications,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0201 ,Switzerland,Commercial,Communications,,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0202   ,Switzerland,Commercial,Communications,,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0203,Switzerland,Commercial,Communications,,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0204 ,Switzerland,Commercial,Communications,,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast-0205 ,Switzerland,Commercial,Communications,,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrosat,India,Government,Space Science,,LEO,9/28/2015,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT&T T16,USA,Commercial,Communications,,GEO,6/20/2019,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athena,USA,Commercial,Communications,,LEO,9/2/2020,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athena-Fidus,France/Italy,Government/Military,Communications,,GEO,2/6/2014,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athenoxat-1,Singapore,Commercial,Technology Development,,LEO,12/16/2015,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerspace 1/Africasat-1a,Azerbaijan,Government,Communications,,GEO,2/7/2013,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerspace 2/Intelsat-38,Azerbaijan,Government,Communications,,GEO,9/25/2018,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr 4,Multinational,Government,Communications,,GEO,11/8/2006,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr 5,Multinational,Government,Communications,,GEO,6/3/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr 5A,Multinational,Government,Communications,,GEO,6/26/2010,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr 6,Multinational,Government,Communications,,GEO,7/7/2008,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr 7,Multinational,Government,Communications,,GEO,11/10/2015,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangabandhu 1,Bangladesh,Government,Communications,,GEO,5/11/2018,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baoyun,China,Civil,Unknown,,LEO,12/6/2021,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2503,Russia,Military,Earth Observation,Electronic Intelligence,LEO,2/27/2015,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2515,Russia,Military,Earth Observation,Electronic Intelligence,LEO,3/24/2016,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2556,Russia,Military,Earth Observation,Electronic Intelligence,LEO,5/19/2022,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2567,Russia,Military,Earth Observation,Electronic Intelligence,LEO,3/23/2023,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB-1,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB-2,USA,Military,Technology Demonstration,,LEO,4/2/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDSAT,Czech Republic,Government,Technology Demonstration,,LEO,4/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDSAT-2,Czech Republic,Civil,Communications,Amateur Radio,LEO,1/3/2023,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beesat-5,Germany,Civil,Technology Demonstration,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beesat-6,Germany,Civil,Technology Demonstration,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beesat-7,Germany,Civil,Technology Demonstration,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beesat-8,Germany,Civil,Technology Demonstration,,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beesat-9,Germany,Civil,Technology Development,,LEO,7/5/2019,Vostochny Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
